"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","returns ""User Not Found"" for a non-existent account","chromium","2026-09-15","passed","2026-09-15","Login API","api\login.spec.js","",""
"","3670","logs in successfully with valid credentials","chromium","2026-09-15","skipped","2026-09-15","Login page","login\login.spec.js","",""
"","218","returns ""User Not Found"" for a non-existent account","webkit","2026-09-15","passed","2026-09-15","Login API","api\login.spec.js","",""
"","12763","logs in successfully with valid credentials","firefox","2026-09-15","skipped","2026-09-15","Login page","login\login.spec.js","",""
"","4555","captcha can be refreshed and changes value","webkit","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","28","logs in successfully via API with valid credentials","chromium","2026-09-15","skipped","2026-09-15","Login API","api\login.spec.js","",""
"","20606","captcha can be refreshed and changes value","firefox","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","24","logs in successfully via API with valid credentials","webkit","2026-09-15","skipped","2026-09-15","Login API","api\login.spec.js","",""
"","3927","captcha can be refreshed and changes value","chromium","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","4284","rejects an incorrect captcha before hitting the API","chromium","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","385","returns ""User Not Found"" for a non-existent account","firefox","2026-09-15","passed","2026-09-15","Login API","api\login.spec.js","",""
"","4586","rejects a random, non-existent account","chromium","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","4436","logs in successfully with valid credentials","webkit","2026-09-15","skipped","2026-09-15","Login page","login\login.spec.js","",""
"","18305","rejects an incorrect captcha before hitting the API","webkit","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","19774","rejects a random, non-existent account","webkit","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","39","logs in successfully via API with valid credentials","firefox","2026-09-15","skipped","2026-09-15","Login API","api\login.spec.js","",""
"","22589","rejects an incorrect captcha before hitting the API","firefox","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
"","21644","rejects a random, non-existent account","firefox","2026-09-15","passed","2026-09-15","Login page","login\login.spec.js","",""
